ID,mean,std,median
8925,0.4,0.03,0.39
8926,,,
8929,0.34,,0.34
8933,0.66,0.1,0.66
8936,0.38,0.02,0.38
8938,0.13,0.03,0.14
8939,0.54,,0.54
8940,,,
8941,0.44,0.05,0.45
8942,0.64,0.11,0.64
8944,0.1,0.01,0.1
8945,0.51,,0.51
8948,0.27,0.06,0.27
8949,0.48,0.04,0.48
8954,0.08,,0.08
8959,1.0,,1.0
8960,0.42,0.1,0.41
8961,0.73,,0.73
8962,0.29,0.01,0.3
8964,0.33,0.07,0.33
8967,0.33,0.01,0.33
8969,0.65,0.02,0.65
8970,0.16,0.04,0.16
8971,0.54,0.05,0.54
8972,0.34,0.05,0.36
8974,0.72,,0.72
8976,0.38,0.05,0.39
8983,,,
8984,0.4,0.05,0.4
8988,0.76,0.05,0.74
8989,0.66,,0.66
8992,,,
8995,0.62,0.23,0.62
8996,0.66,0.02,0.66
8997,0.3,,0.3
8998,0.34,0.04,0.34
8999,0.52,0.01,0.52
9004,0.37,0.05,0.37
9005,0.45,,0.45
9008,,,
9010,0.21,,0.21
9012,0.82,0.04,0.82
9013,0.25,,0.25
9017,1.0,,1.0
9018,,,
9020,0.43,0.01,0.43
9022,,,
9023,0.23,0.05,0.24
9028,0.33,,0.33
9030,0.64,0.04,0.64
9031,1.0,0.0,1.0
9032,0.08,,0.08
9033,0.6,,0.6
9034,0.51,,0.51
9038,0.29,0.01,0.28
9039,0.46,0.03,0.46
9040,0.35,0.07,0.35
9041,0.16,0.02,0.16
9042,0.24,0.09,0.24
9043,0.47,0.06,0.49
9044,0.62,0.01,0.62
9045,0.29,,0.29
9046,0.2,0.01,0.2
9047,0.27,0.04,0.29
9049,0.28,0.04,0.28
9054,0.66,0.1,0.63
9055,0.53,0.03,0.51
9056,,,
9058,0.9,0.08,0.86
9060,0.46,0.01,0.47
9061,1.0,0.01,1.0
9062,0.15,,0.15
9064,0.35,,0.35
9070,0.68,0.11,0.71
9072,0.54,0.09,0.54
9074,0.24,,0.24
9075,0.33,,0.33
9076,0.47,0.02,0.46
9077,1.0,0.0,1.0
9079,0.46,0.02,0.46
9080,0.44,,0.44
9081,0.66,0.02,0.66
9085,0.55,0.1,0.54
9086,0.71,0.23,0.68
9087,0.2,0.01,0.2
9089,,,
9091,0.17,,0.17
9092,0.21,0.03,0.22
9093,0.64,0.04,0.64
9094,0.73,,0.73
9096,0.78,0.04,0.78
9097,0.63,0.04,0.63
9102,0.8,0.01,0.8
9106,0.58,,0.58
9110,0.16,0.0,0.16
9112,0.98,,0.98
9115,0.82,,0.82
9116,0.6,0.06,0.6
9119,0.97,,0.97
9120,,,
9125,0.25,0.07,0.22
9126,0.36,0.03,0.36
9127,0.21,0.06,0.2
9129,,,
9131,0.66,0.01,0.66
9133,0.26,0.02,0.26
9136,,,
9143,0.62,0.05,0.62
9144,0.36,0.05,0.36
9145,0.49,,0.49
9146,0.52,0.02,0.52
9147,0.27,,0.27
9148,0.25,,0.25
9150,0.75,0.01,0.75
9155,0.76,0.01,0.76
9156,0.7,0.06,0.7
9157,0.91,,0.91
9158,0.39,0.04,0.38
9159,0.4,,0.4
9160,,,
9163,1.0,0.0,1.0
9165,0.23,,0.23
9166,0.5,0.01,0.5
9167,0.31,0.01,0.31
9169,0.3,,0.3
9170,0.22,0.03,0.22
9171,0.26,0.06,0.27
9172,0.52,0.01,0.52
9173,0.59,0.02,0.58
9174,0.65,0.02,0.66
9175,0.42,0.02,0.42
9176,0.33,0.0,0.33
9178,0.49,0.06,0.5
9180,,,
9181,0.35,0.0,0.35
9182,0.34,,0.34
9183,0.26,0.03,0.27
9185,0.83,0.04,0.82
9186,0.59,0.11,0.59
9187,0.7,,0.7
9189,0.18,0.04,0.18
9191,0.22,0.06,0.2
9192,0.15,0.03,0.15
9196,0.28,0.03,0.27
9197,0.38,0.04,0.39
9201,0.53,0.03,0.54
9207,0.38,0.02,0.38
9208,0.73,0.25,0.84
9209,0.55,0.02,0.55
9210,0.86,,0.86
9212,0.47,,0.47
9214,0.38,0.01,0.38
9215,0.52,,0.52
9216,0.28,,0.28
9219,0.86,0.02,0.87
9220,0.32,,0.32
9221,0.64,0.02,0.64
9224,0.3,,0.3
9225,0.81,0.08,0.78
9226,0.44,,0.44
9227,0.53,0.01,0.53
9229,0.48,0.02,0.48
9230,0.48,0.02,0.49
9231,0.85,,0.85
9232,0.66,0.02,0.66
9235,,,
9238,0.41,0.01,0.41
9239,0.46,0.05,0.46
9240,0.32,0.05,0.32
9241,0.26,,0.26
9242,0.18,,0.18
9243,0.59,0.1,0.54
9244,0.51,0.01,0.51
9245,0.62,0.05,0.62
9246,0.17,,0.17
9247,0.3,0.04,0.28
9248,0.89,,0.89
9249,0.33,0.07,0.33
9253,0.69,0.2,0.72
9254,,,
9255,0.25,0.03,0.25
9256,0.95,,0.95
9257,0.38,0.02,0.39
9258,0.26,,0.26
9259,0.25,0.02,0.24
9260,0.21,0.08,0.18
9261,0.8,0.01,0.8
9262,0.28,,0.28
9264,0.13,0.04,0.15
9266,0.31,0.01,0.31
9267,0.14,0.03,0.13
9268,0.42,0.03,0.42
9269,0.31,,0.31
9270,,,
9273,0.72,,0.72
9275,0.25,0.03,0.24
9276,,,
9277,0.38,0.02,0.38
9279,0.24,0.04,0.23
9280,0.43,0.05,0.42
9282,,,
9283,,,
9284,0.19,,0.19
9285,0.36,0.03,0.36
9287,0.84,0.01,0.84
9292,0.48,0.15,0.47
9293,,,
9295,0.42,,0.42
9296,0.86,0.01,0.85
9297,0.35,0.45,0.35
9298,0.38,,0.38
9299,0.36,0.05,0.35
9303,0.28,,0.28
9306,0.62,0.04,0.62
9307,0.58,,0.58
9308,0.18,,0.18
9309,0.19,0.07,0.21
9318,0.73,,0.73
9320,0.34,0.23,0.34
9322,0.75,,0.75
9323,0.76,0.06,0.78
9324,0.58,,0.58
9325,0.23,0.07,0.23
9326,0.57,,0.57
9327,0.64,0.05,0.66
9328,0.09,0.04,0.08
9332,0.46,0.03,0.46
9335,0.45,0.27,0.39
9336,0.63,0.04,0.64
9337,0.46,0.08,0.46
9338,0.41,0.06,0.41
9339,0.41,,0.41
9343,1.0,0.0,1.0
9344,0.79,,0.79
9346,0.12,,0.12
9348,0.79,0.05,0.8
9350,0.36,0.05,0.37
9351,0.76,0.09,0.76
9352,0.99,0.01,1.0
9353,0.49,0.03,0.5
9354,0.49,,0.49
9357,0.29,0.12,0.34
9358,0.95,0.03,0.94
9364,,,
9365,,,
9366,0.16,0.06,0.17
9369,0.52,0.04,0.53
9370,0.85,,0.85
9372,0.78,,0.78
9375,0.62,0.03,0.62
9376,0.26,0.05,0.26
9377,0.0,0.01,0.0
9378,0.62,0.04,0.62
9380,0.84,0.13,0.79
9381,0.24,0.09,0.21
9385,0.9,0.02,0.89
9386,0.65,,0.65
9387,0.41,0.0,0.41
9388,0.18,0.05,0.18
9392,0.16,0.01,0.16
9393,0.33,0.04,0.34
9394,0.9,0.01,0.89
9397,0.25,0.03,0.23
9398,0.76,0.03,0.77
9399,0.66,,0.66
9401,,,
9402,0.95,,0.95
9404,0.34,0.06,0.31
9405,0.57,0.08,0.57
9407,0.62,,0.62
9412,,,
9413,0.9,0.05,0.9
9414,0.33,,0.33
9415,0.8,0.08,0.8
9416,0.46,0.0,0.46
9419,0.28,,0.28
9420,0.56,0.05,0.59
9425,0.13,0.04,0.13
9428,0.97,,0.97
9429,0.72,0.04,0.72
9433,0.4,0.03,0.4
9435,0.8,0.05,0.82
9436,0.47,,0.47
9437,0.74,0.01,0.74
9439,0.51,0.03,0.5
9440,,,
9441,0.74,0.13,0.74
9442,0.38,0.03,0.37
9443,0.87,0.08,0.89
9444,0.31,0.05,0.31
9448,0.24,0.04,0.24
9450,,,
9451,0.56,0.08,0.58
9452,0.53,0.03,0.53
9458,0.37,0.02,0.36
9459,0.19,,0.19
9460,0.13,,0.13
9461,0.32,0.0,0.32
9462,0.34,0.01,0.34
9464,0.23,,0.23
9465,0.28,0.17,0.24
9467,0.44,,0.44
9473,0.19,,0.19
9475,0.54,0.02,0.54
9476,0.52,0.05,0.54
9483,0.61,0.23,0.61
9484,,,
9486,0.67,0.0,0.67
9488,0.52,0.02,0.52
9491,0.65,0.01,0.65
9492,0.93,0.01,0.93
9493,0.16,0.04,0.17
9494,0.34,0.04,0.32
9495,0.75,0.04,0.75
9497,0.24,0.04,0.24
9499,0.4,0.07,0.4
9501,0.26,0.03,0.26
9506,0.23,0.04,0.23
9509,,,
9511,0.27,,0.27
9513,0.34,0.02,0.34
9515,0.52,0.04,0.52
9516,0.56,,0.56
9517,0.22,,0.22
9518,0.15,0.03,0.15
9519,0.26,0.16,0.34
9523,0.32,0.04,0.32
9524,,,
9527,0.55,0.06,0.55
9529,0.98,,0.98
9530,0.12,0.09,0.12
9531,0.6,0.03,0.61
9532,0.79,0.02,0.8
9534,0.99,0.01,0.99
9536,1.0,,1.0
9537,0.33,0.05,0.3
9540,0.64,0.09,0.66
9541,0.37,0.03,0.38
9542,1.0,,1.0
9545,0.78,0.04,0.78
9547,0.28,0.06,0.28
9548,1.0,,1.0
9550,0.92,0.02,0.92
9552,0.36,0.04,0.36
9553,0.04,0.01,0.04
9554,0.24,0.01,0.24
9556,0.36,,0.36
9557,0.53,,0.53
9560,0.8,0.16,0.77
9561,0.5,0.06,0.53
9563,0.64,0.04,0.64
9566,0.54,0.03,0.54
9567,0.33,,0.33
9568,,,
9569,0.25,0.03,0.25
9570,0.48,0.02,0.48
9574,0.76,0.13,0.82
9576,0.35,0.08,0.36
9577,0.45,0.09,0.47
9578,0.64,,0.64
9581,0.36,0.01,0.36
9584,0.36,0.02,0.36
9586,0.48,0.02,0.48
9588,0.13,0.04,0.11
9589,0.52,0.17,0.52
9591,,,
9592,0.4,0.02,0.4
9593,0.16,,0.16
9597,0.5,,0.5
9600,0.57,0.13,0.57
9601,0.67,,0.67
9603,,,
9604,0.8,0.04,0.8
9606,0.82,0.01,0.82
9608,0.37,0.02,0.38
9609,0.76,,0.76
9612,0.39,0.0,0.39
9613,0.66,,0.66
9617,0.76,,0.76
9618,0.57,,0.57
9620,1.0,,1.0
9621,0.11,,0.11
9624,0.26,0.03,0.26
9625,0.28,,0.28
9626,0.93,,0.93
9628,0.76,,0.76
9629,0.64,0.05,0.66
9630,0.33,0.05,0.34
9631,0.6,,0.6
9632,0.33,,0.33
9633,0.82,0.12,0.78
9634,0.72,0.02,0.73
9635,0.17,0.0,0.17
9636,1.0,0.0,1.0
9640,1.0,,1.0
9641,0.09,0.12,0.04
9643,0.38,,0.38
9644,0.46,0.03,0.45
9646,0.63,,0.63
9648,0.24,0.08,0.28
9651,0.64,0.11,0.66
9653,0.5,0.01,0.5
9654,0.54,0.14,0.48
9655,0.24,,0.24
9656,0.51,0.09,0.52
9658,0.93,,0.93
9659,0.31,0.04,0.3
9662,0.39,0.11,0.4
9663,,,
9664,0.45,0.01,0.45
9666,0.54,0.03,0.54
9667,0.65,,0.65
9668,0.34,0.02,0.34
9669,0.15,0.04,0.13
9670,0.39,,0.39
9672,,,
9674,0.59,,0.59
9676,0.39,0.06,0.38
9677,0.3,0.06,0.3
9681,1.0,,1.0
9685,0.49,,0.49
9686,0.22,0.03,0.22
9687,0.32,0.08,0.32
9690,,,
9691,0.45,,0.45
9693,0.27,0.05,0.27
9695,0.34,0.01,0.34
9698,0.43,0.05,0.43
9699,0.32,0.07,0.32
9703,0.36,0.04,0.36
9704,,,
9706,0.64,0.05,0.64
9707,0.12,0.0,0.12
9708,0.64,0.13,0.64
9709,0.56,0.02,0.56
9710,0.88,,0.88
9712,0.59,,0.59
9713,0.2,0.04,0.2
9714,0.98,0.02,0.98
9717,0.19,,0.19
9722,0.51,,0.51
9723,0.39,0.03,0.38
9724,0.0,0.0,0.0
9725,,,
9729,0.21,0.06,0.22
9730,0.24,0.05,0.24
9731,0.67,,0.67
9732,1.0,0.0,1.0
9733,0.53,0.02,0.52
9734,,,
9738,0.5,,0.5
9739,0.92,0.02,0.9
9741,0.55,,0.55
9743,0.55,0.01,0.55
9745,0.74,,0.74
9746,0.39,0.0,0.39
9747,0.65,0.01,0.65
9748,0.58,0.1,0.58
9750,0.26,0.02,0.26
9752,1.0,0.0,1.0
9753,0.53,0.04,0.53
9754,0.46,,0.46
9755,0.86,0.02,0.85
9756,0.56,0.11,0.56
9758,0.88,0.04,0.88
9759,0.18,0.01,0.18
9767,0.2,0.02,0.2
9771,0.85,,0.85
9773,0.65,0.06,0.64
9774,0.14,0.09,0.14
9777,,,
9778,0.17,0.02,0.18
9781,0.55,0.05,0.55
9782,0.85,0.13,0.8
9784,0.55,0.04,0.55
9785,0.22,0.04,0.22
9786,0.5,0.18,0.56
9787,0.51,0.0,0.51
9789,0.04,0.03,0.04
9790,0.62,,0.62
9791,0.56,,0.56
9796,0.32,0.04,0.32
9799,0.27,,0.27
9800,0.39,,0.39
9802,0.39,,0.39
9804,0.14,0.15,0.14
9805,0.55,0.04,0.55
9806,0.14,0.05,0.14
9809,,,
9810,,,
9811,0.76,0.04,0.76
9815,0.38,0.04,0.38
9817,0.44,,0.44
9820,0.49,0.04,0.47
9822,0.77,,0.77
9823,0.33,,0.33
9824,,,
9827,0.42,0.01,0.42
9830,0.14,0.03,0.16
9831,0.22,0.02,0.22
9832,,,
9833,0.14,,0.14
9834,0.48,0.04,0.46
9835,0.92,,0.92
9838,0.19,,0.19
9840,0.24,0.05,0.23
9842,0.18,0.01,0.18
9843,1.0,0.0,1.0
9845,0.16,,0.16
9846,0.33,,0.33
9847,0.08,0.04,0.08
9851,,,
9852,0.75,0.01,0.75
9854,0.67,0.28,0.67
9855,,,
9856,,,
9857,0.98,0.02,0.97
9861,0.52,0.11,0.56
9862,0.46,,0.46
9864,0.41,0.04,0.41
9865,1.0,,1.0
9867,0.93,,0.93
9868,0.42,0.04,0.4
9869,0.19,0.04,0.21
9872,0.32,0.02,0.32
9875,,,
9877,0.62,,0.62
9880,0.2,0.06,0.18
9883,0.8,0.01,0.8
9885,0.44,0.02,0.44
9888,0.86,0.06,0.86
9889,0.13,0.04,0.15
9890,0.55,0.03,0.55
9891,0.36,0.0,0.36
9892,0.74,0.04,0.73
9894,0.82,0.22,0.82
9902,0.29,,0.29
9904,0.75,,0.75
9905,0.74,0.04,0.74
9907,0.75,0.31,0.75
9908,0.72,,0.72
9909,0.65,0.16,0.65
9912,0.28,0.03,0.28
9914,0.78,,0.78
9917,0.51,0.07,0.51
9918,0.2,0.01,0.2
9919,,,
9920,0.21,0.01,0.21
9921,0.39,,0.39
9922,0.94,0.0,0.94
9923,0.82,,0.82
9924,0.24,0.04,0.22
9931,0.19,0.12,0.13
9933,,,
9934,0.5,0.02,0.5
9935,0.9,0.02,0.91
9939,0.27,,0.27
9940,0.98,,0.98
9942,,,
9944,,,
9945,0.19,,0.19
9948,0.98,0.02,0.98
9951,0.59,,0.59
9952,0.16,0.03,0.16
9953,,,
9955,0.29,0.01,0.29
9956,0.03,0.03,0.03
9959,0.46,,0.46
9960,0.3,0.01,0.3
9963,0.81,0.04,0.81
9965,0.81,,0.81
9966,0.42,0.08,0.44
9968,0.65,0.03,0.63
9969,0.11,0.05,0.11
9970,0.96,0.03,0.96
9971,0.19,,0.19
9972,0.22,0.03,0.23
9973,0.65,0.01,0.65
9977,0.15,0.1,0.15
9979,0.22,0.02,0.22
9980,0.21,0.06,0.19
9981,0.58,0.03,0.58
9983,0.7,0.04,0.7
9984,0.24,0.01,0.24
9985,0.71,0.31,0.71
9987,0.34,0.06,0.34
9991,0.65,0.03,0.66
9996,0.24,0.02,0.24
9997,0.62,0.05,0.62
10004,0.79,,0.79
10006,,,
10007,0.67,0.0,0.67
10008,,,
10009,1.0,0.01,1.0
10010,0.56,,0.56
10012,0.72,0.02,0.71
10017,0.51,,0.51
10018,0.24,0.05,0.24
10019,0.74,0.05,0.74
10020,0.39,0.02,0.39
10021,0.24,0.06,0.24
10022,0.49,,0.49
10025,0.46,0.03,0.46
10029,0.13,0.04,0.13
10033,0.45,0.07,0.45
10035,0.16,,0.16
10036,,,
10037,0.57,0.47,0.57
10040,0.29,0.19,0.33
10042,0.7,0.11,0.7
10043,0.15,0.06,0.17
10044,0.39,,0.39
10045,0.54,0.04,0.54
10046,0.3,,0.3
10047,0.22,,0.22
10051,,,
10052,0.27,,0.27
10054,,,
10056,0.62,0.07,0.62
10058,0.39,0.3,0.25
10059,0.72,,0.72
10061,0.42,0.04,0.42
10062,0.64,0.02,0.64
10064,0.32,,0.32
10065,0.52,0.03,0.53
10066,0.5,0.15,0.5
10068,0.46,,0.46
10069,0.16,0.02,0.16
10071,0.32,0.01,0.32
10072,0.92,,0.92
10077,0.8,0.02,0.8
10079,0.55,,0.55
10083,0.31,,0.31
10086,0.04,0.06,0.04
10087,0.15,0.05,0.16
10088,0.45,0.04,0.44
10091,0.52,,0.52
10092,0.24,,0.24
10094,0.66,,0.66
10095,0.69,,0.69
10096,,,
10097,0.62,,0.62
10107,0.24,0.04,0.24
10110,0.42,0.11,0.42
10111,0.23,,0.23
10112,0.54,,0.54
10118,0.16,,0.16
10119,0.74,0.02,0.75
10120,0.45,0.01,0.45
10121,0.81,,0.81
10125,,,
10126,0.63,0.03,0.62
10127,0.5,0.04,0.51
10129,0.75,0.06,0.74
10130,0.16,,0.16
10131,0.61,,0.61
10132,0.6,0.08,0.6
10133,0.3,0.04,0.31
10134,0.65,0.06,0.64
10136,0.47,,0.47
10137,0.29,0.01,0.29
10139,0.5,0.03,0.5
10145,0.29,,0.29
10148,,,
10150,,,
10157,0.6,0.16,0.6
10158,0.2,0.02,0.19
10159,0.16,0.03,0.16
10161,,,
10163,0.95,0.06,0.98
10165,0.46,,0.46
10167,0.7,0.01,0.7
10168,,,
10169,0.31,,0.31
10174,0.29,,0.29
10176,0.62,0.04,0.62
10178,,,
10179,0.08,0.08,0.04
10181,,,
10183,0.31,0.01,0.31
10184,0.35,,0.35
10185,0.33,,0.33
10188,0.62,0.0,0.62
10189,0.76,0.08,0.76
10193,0.58,0.03,0.57
10194,1.0,0.0,1.0
10195,0.38,0.01,0.38
10196,0.74,0.01,0.74
10197,0.96,0.02,0.96
10198,0.23,0.12,0.25
10201,0.26,0.05,0.28
10202,0.41,,0.41
10205,0.6,0.16,0.6
10207,0.1,0.02,0.1
10210,0.3,,0.3
10211,0.35,0.04,0.36
10214,0.8,0.04,0.8
10216,0.32,,0.32
10217,0.85,,0.85
10218,0.48,0.04,0.48
10219,,,
10220,0.55,0.05,0.52
10223,0.24,0.03,0.22
10224,0.28,,0.28
10225,,,
10226,,,
10228,0.23,0.1,0.23
10229,0.62,0.06,0.62
10230,0.1,0.01,0.1
10232,0.37,,0.37
10233,,,
10234,0.48,0.21,0.48
10235,,,
10237,,,
10239,,,
10241,0.73,,0.73
10242,0.78,,0.78
10243,0.23,0.01,0.23
10244,0.35,0.1,0.32
10251,0.24,,0.24
10252,0.23,0.01,0.23
10253,0.53,0.01,0.53
10254,0.72,,0.72
10256,0.63,0.1,0.66
10257,0.3,0.06,0.29
10258,,,
10259,0.22,0.01,0.22
10261,0.38,,0.38
10262,0.39,0.03,0.38
10267,1.0,,1.0
10269,0.25,0.06,0.23
10270,0.21,0.01,0.21
10271,0.36,0.01,0.36
10272,0.46,0.03,0.46
10274,0.26,0.05,0.28
10276,0.45,,0.45
10277,1.0,0.01,1.0
10280,0.68,0.03,0.69
10281,0.32,,0.32
10283,0.87,0.01,0.86
10288,0.29,,0.29
10289,0.17,,0.17
10292,0.56,,0.56
10293,0.49,0.0,0.49
10296,0.13,0.03,0.13
10298,0.47,0.04,0.47
10299,0.33,0.01,0.33
10300,0.13,,0.13
10301,0.48,0.02,0.48
10302,0.57,0.15,0.6
10303,0.48,0.02,0.48
10305,0.64,,0.64
10306,,,
10307,0.64,0.08,0.64
10309,0.33,,0.33
10312,0.66,0.06,0.66
10313,0.74,0.14,0.66
10315,0.24,0.02,0.24
10316,,,
10317,0.0,0.0,0.0
10319,0.64,0.03,0.64
10324,0.53,0.05,0.52
10326,0.28,0.1,0.28
10327,0.37,0.03,0.37
10329,0.16,0.02,0.16
10330,0.13,0.04,0.12
10332,0.17,0.04,0.17
10333,0.13,0.02,0.13
10334,0.63,0.04,0.64
10335,0.15,,0.15
10336,0.71,,0.71
10337,0.29,0.01,0.29
10338,0.45,,0.45
10343,0.26,0.08,0.26
10344,0.28,,0.28
10345,0.1,0.08,0.1
10346,0.91,0.08,0.88
10348,0.55,,0.55
10349,0.45,,0.45
10351,0.27,,0.27
10354,0.23,0.0,0.23
10355,0.84,0.09,0.84
10356,0.56,,0.56
10357,,,
10359,,,
10360,0.29,0.01,0.29
10361,0.5,0.05,0.49
10363,0.77,,0.77
10364,0.76,0.03,0.76
10367,0.65,,0.65
10369,0.44,0.03,0.44
10370,0.26,0.04,0.26
10372,0.27,0.04,0.27
10375,0.38,0.02,0.38
10376,0.24,0.04,0.24
10377,0.16,0.02,0.15
10378,0.46,0.01,0.46
10379,0.84,0.01,0.84
10380,0.15,0.04,0.15
10381,0.55,0.07,0.55
10383,0.78,,0.78
10386,0.65,,0.65
10388,0.84,0.04,0.85
10389,,,
10390,0.46,,0.46
10393,0.93,0.01,0.93
10394,0.24,0.05,0.24
10399,0.17,0.06,0.17
10400,0.77,0.05,0.75
10401,,,
10402,0.32,0.2,0.35
10404,0.24,0.04,0.24
10406,0.24,0.05,0.24
10407,1.0,,1.0
10408,0.26,0.02,0.26
10410,0.94,0.03,0.96
10412,0.21,,0.21
10413,0.32,,0.32
10415,0.3,0.01,0.3
10416,0.54,0.03,0.54
10417,0.42,0.03,0.42
10419,0.68,0.04,0.68
10422,0.52,0.07,0.53
10423,0.54,,0.54
10424,0.38,,0.38
10427,0.22,,0.22
10428,0.54,,0.54
10429,0.67,,0.67
10430,,,
10431,0.5,0.21,0.5
10432,0.91,,0.91
10436,0.54,0.03,0.54
10437,0.69,,0.69
10439,,,
10440,0.14,0.06,0.14
10443,0.26,0.02,0.26
10444,,,
10445,0.43,0.12,0.45
10446,0.4,0.04,0.4
10447,0.22,0.11,0.17
10448,0.61,0.14,0.61
10449,0.22,0.08,0.22
10450,,,
10451,0.72,0.07,0.72
10452,0.25,0.08,0.25
10454,,,
10455,0.28,0.01,0.28
10456,0.54,0.03,0.54
10457,0.69,,0.69
10461,0.24,0.03,0.22
10462,0.45,0.0,0.45
10463,0.79,,0.79
10464,0.19,0.19,0.13
10467,0.0,0.0,0.0
10468,0.68,0.05,0.65
10469,0.24,0.04,0.24
10479,0.6,0.04,0.6
10480,0.76,,0.76
10482,0.27,,0.27
10483,0.52,0.02,0.51
10484,0.48,0.04,0.47
10486,0.0,,0.0
10490,0.37,0.01,0.37
10491,0.41,0.02,0.42
10492,1.0,0.0,1.0
10493,0.0,0.0,0.0
10494,,,
10497,0.58,,0.58
10498,0.45,,0.45
10500,0.47,,0.47
10502,0.16,0.04,0.18
10505,0.56,,0.56
10506,1.0,0.0,1.0
10507,0.3,,0.3
10509,0.78,0.07,0.79
10510,,,
10511,0.8,0.08,0.83
10512,0.97,,0.97
10513,0.18,0.04,0.18
10514,,,
10518,0.79,0.04,0.79
10519,0.43,0.1,0.47
10520,0.22,0.03,0.23
10522,0.14,0.04,0.14
10523,0.88,0.01,0.88
10525,0.45,,0.45
10528,0.3,0.06,0.33
10530,0.37,0.01,0.37
10531,0.98,0.01,0.98
10532,0.39,0.07,0.39
10533,0.22,,0.22
10536,0.79,0.05,0.76
10538,0.5,0.02,0.5
10540,0.47,,0.47
10542,0.89,0.05,0.87
10543,0.0,0.0,0.0
10544,0.17,0.0,0.17
10545,1.0,,1.0
10546,0.57,,0.57
10547,0.62,0.16,0.55
10549,0.16,0.03,0.16
10550,0.34,0.07,0.34
10552,0.4,0.06,0.4
10553,0.93,0.06,0.92
10554,0.47,0.01,0.47
10555,0.5,0.01,0.5
10556,0.39,,0.39
10557,0.52,,0.52
10558,,,
10559,0.84,0.01,0.84
10560,0.29,0.06,0.29
10561,1.0,0.0,1.0
10563,,,
10567,0.71,0.06,0.71
10568,,,
10570,0.27,0.01,0.27
10571,0.88,0.02,0.88
10572,0.99,,0.99
10575,,,
10577,,,
10579,0.98,0.02,0.98
10580,0.64,0.02,0.64
10581,0.58,0.03,0.59
10584,0.6,0.04,0.6
10585,0.38,,0.38
10586,0.33,,0.33
10589,0.94,0.04,0.95
10590,0.41,,0.41
10591,0.36,,0.36
10594,0.32,0.02,0.32
10595,0.3,,0.3
10596,0.68,0.05,0.7
10599,,,
10606,0.27,,0.27
10607,0.54,0.02,0.53
10608,0.3,0.02,0.31
10614,0.82,,0.82
10617,0.13,0.02,0.14
10618,0.62,0.05,0.64
10619,0.47,0.01,0.47
10621,0.76,0.03,0.74
10622,0.63,0.1,0.62
10623,0.86,0.03,0.86
10625,0.39,0.0,0.39
10626,0.24,0.05,0.24
10627,0.32,,0.32
10628,,,
10629,0.18,0.02,0.18
10631,0.1,,0.1
10636,0.54,0.04,0.54
10637,0.56,0.14,0.55
10643,,,
10645,0.17,0.01,0.17
10646,0.72,,0.72
10648,0.82,,0.82
10649,0.6,,0.6
10651,0.3,,0.3
10652,0.48,0.06,0.48
10653,0.0,0.0,0.0
10655,0.2,0.04,0.2
10656,0.64,0.03,0.65
10657,,,
10659,0.99,,0.99
10660,,,
10664,1.0,0.0,1.0
10665,0.23,0.11,0.23
10666,,,
10669,0.03,0.04,0.03
10670,0.27,0.07,0.27
10671,0.85,0.01,0.85
10672,0.46,0.16,0.46
10673,0.9,,0.9
10674,0.59,0.14,0.56
10676,0.39,0.06,0.39
10677,1.0,,1.0
10678,0.59,0.19,0.58
10680,,,
10685,0.43,0.03,0.44
10686,0.18,,0.18
10689,0.43,0.05,0.43
10690,,,
10692,0.94,0.01,0.94
10694,0.49,0.18,0.49
10695,0.9,0.09,0.85
10697,0.23,0.06,0.23
10698,0.22,0.04,0.23
10699,0.55,0.02,0.55
10700,0.93,,0.93
10703,0.91,0.05,0.9
10706,0.22,,0.22
10707,0.64,,0.64
10708,0.49,,0.49
10709,0.0,,0.0
10712,0.73,,0.73
10713,0.5,0.02,0.5
10718,0.47,0.03,0.46
10719,0.4,,0.4
10720,0.65,0.02,0.65
10721,0.3,0.18,0.34
10723,0.77,,0.77
10728,0.45,0.05,0.45
10729,0.3,0.01,0.3
10730,0.3,0.02,0.3
10733,0.52,0.05,0.52
10735,0.04,0.01,0.04
10737,0.34,0.21,0.28
10743,0.91,,0.91
10748,,,
10749,0.28,,0.28
10750,0.36,0.02,0.35
10753,,,
10754,0.47,0.02,0.46
10756,0.28,0.06,0.28
10757,0.22,0.02,0.23
10758,,,
10760,0.44,0.01,0.44
10761,0.74,0.06,0.78
10762,0.54,0.01,0.54
10763,0.21,0.06,0.25
10765,0.27,0.03,0.27
10766,0.78,0.04,0.78
10768,0.33,0.02,0.34
10769,0.2,0.04,0.2
10770,0.32,,0.32
10774,0.93,0.04,0.92
10778,0.38,0.04,0.4
10779,0.4,0.08,0.36
10781,0.25,0.07,0.23
10783,0.2,0.12,0.26
10784,0.31,,0.31
10786,0.33,,0.33
10787,0.59,0.26,0.63
10788,0.63,0.03,0.63
10793,0.32,0.13,0.32
10794,0.91,0.07,0.9
10795,0.5,,0.5
10799,0.44,0.01,0.44
10801,0.78,0.03,0.79
10803,0.7,,0.7
10806,0.98,0.02,0.99
10807,0.72,0.05,0.7
10810,0.21,,0.21
10811,0.2,0.01,0.2
10814,0.22,0.04,0.24
10817,0.32,0.04,0.32
10818,0.57,,0.57
10819,,,
10821,1.0,0.0,1.0
10823,0.24,0.06,0.23
10824,0.44,0.08,0.44
10827,0.13,0.0,0.13
10831,0.39,0.03,0.39
10835,0.72,0.03,0.72
