ID,2BM0,2BM1,2BM2,2BM3,2BM4,2BM5,2BM6,2BM7,2BM8,2BM9,7BM0,7BM1,7BM2,7BM3,7BM4,7BM5,7BM6,7BM7,7BM8,7BM9,10BM0,10BM1,10BM2,10BM3,10BM4,10BM5,10BM6,10BM7,10BM8,10BM9
8612,-,0.74,-,-,-,-,-,-,0.74,-,,,,,,,,,,,,,,,,,,,,
8617,-,-,-,-,0.56,0.56,-,-,0.55,-,,,,,,,,,,,,,,,,,,,,
8621,-,-,-,-,-,-,0.41,-,0.41,-,,,,,,,,,,,,,,,,,,,,
8622,-,0.52,-,-,-,-,0.52,-,-,-,,,,,,,,,,,,,,,,,,,,
8625,-,-,-,-,0.54,-,0.52,-,-,-,,,,,,,,,,,,,,,,,,,,
8627,0.41,0.41,0.4,-,-,-,0.41,-,-,-,,,,,,,,,,,,,,,,,,,,
8630,0.89,0.89,-,-,0.88,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8634,0.26,-,-,-,-,-,0.25,-,-,0.26,,,,,,,,,,,,,,,,,,,,
8635,-,-,-,-,-,0.17,-,0.18,0.19,0.18,,,,,,,,,,,,,,,,,,,,
8636,-,-,-,-,-,0.68,-,-,0.67,0.68,,,,,,,,,,,,,,,,,,,,
8638,-,-,-,-,-,0.77,-,-,0.76,-,,,,,,,,,,,,,,,,,,,,
8639,0.62,-,0.63,-,-,-,-,-,-,0.64,,,,,,,,,,,,,,,,,,,,
8644,-,-,0.28,-,-,-,-,0.29,-,-,,,,,,,,,,,,,,,,,,,,
8647,0.59,-,0.58,-,-,0.58,-,-,-,0.59,,,,,,,,,,,,,,,,,,,,
8651,-,-,-,-,-,-,-,-,-,0.74,,,,,,,,,,,,,,,,,,,,
8652,-,-,0.46,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8659,-,0.33,-,0.34,0.34,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8665,-,-,0.64,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8667,-,-,-,0.91,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8672,-,-,0.52,-,0.54,-,-,-,0.52,-,,,,,,,,,,,,,,,,,,,,
8674,-,-,-,0.4,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8676,-,-,0.35,-,0.38,-,0.35,-,-,-,,,,,,,,,,,,,,,,,,,,
8679,-,-,-,-,-,-,-,0.56,-,-,,,,,,,,,,,,,,,,,,,,
8681,-,-,-,-,-,-,-,-,-,0.84,,,,,,,,,,,,,,,,,,,,
8684,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8685,-,0.91,0.92,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8700,-,-,0.91,-,-,-,0.9,-,-,-,,,,,,,,,,,,,,,,,,,,
8701,-,-,-,-,-,-,-,-,0.42,-,,,,,,,,,,,,,,,,,,,,
8705,0.69,-,-,-,0.7,-,0.69,0.7,-,0.7,,,,,,,,,,,,,,,,,,,,
8710,-,-,0.41,-,0.43,-,0.41,0.42,-,-,,,,,,,,,,,,,,,,,,,,
8715,0.55,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8716,-,-,-,-,-,0.43,-,-,-,0.43,,,,,,,,,,,,,,,,,,,,
8717,-,-,-,-,0.29,-,-,-,-,0.27,,,,,,,,,,,,,,,,,,,,
8724,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8732,-,-,-,-,-,0.48,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8735,-,0.33,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8737,-,-,-,-,-,-,-,-,0.77,-,,,,,,,,,,,,,,,,,,,,
8743,-,-,0.75,-,-,-,0.74,-,-,-,,,,,,,,,,,,,,,,,,,,
8756,-,-,-,-,-,0.83,-,0.83,-,-,,,,,,,,,,,,,,,,,,,,
8759,-,-,0.51,0.52,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8760,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8764,-,-,0.55,-,0.56,0.56,0.55,0.56,-,0.56,,,,,,,,,,,,,,,,,,,,
8765,0.78,-,-,-,-,0.79,-,0.79,-,-,,,,,,,,,,,,,,,,,,,,
8768,0.58,0.59,-,0.59,0.6,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8773,-,-,0.96,-,-,0.96,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8775,0.58,-,-,-,0.58,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8786,-,0.47,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8797,-,0.39,-,-,0.41,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8799,-,0.63,-,-,0.64,-,0.63,-,-,-,,,,,,,,,,,,,,,,,,,,
8802,-,-,0.66,0.67,-,0.66,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8805,-,0.27,-,-,-,-,-,0.27,-,-,,,,,,,,,,,,,,,,,,,,
8813,-,-,-,-,-,-,-,-,-,0.5,,,,,,,,,,,,,,,,,,,,
8814,-,-,-,-,-,0.47,-,-,0.46,0.47,,,,,,,,,,,,,,,,,,,,
8818,-,-,-,-,-,-,0.37,-,-,-,,,,,,,,,,,,,,,,,,,,
8820,-,0.59,-,-,-,0.6,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8821,-,0.85,-,0.86,-,-,-,-,0.85,-,,,,,,,,,,,,,,,,,,,,
8830,0.58,-,0.59,0.59,-,0.6,-,0.6,0.58,-,,,,,,,,,,,,,,,,,,,,
8832,-,-,-,0.59,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8835,0.56,0.57,-,-,-,-,0.56,-,-,-,,,,,,,,,,,,,,,,,,,,
8841,-,-,-,-,0.34,-,-,0.33,-,-,,,,,,,,,,,,,,,,,,,,
8843,-,-,0.75,-,-,-,0.74,-,-,-,,,,,,,,,,,,,,,,,,,,
8847,-,-,-,-,-,-,0.42,-,-,-,,,,,,,,,,,,,,,,,,,,
8854,-,-,0.53,-,-,-,-,-,0.53,-,,,,,,,,,,,,,,,,,,,,
8858,-,-,-,-,-,-,-,0.63,-,-,,,,,,,,,,,,,,,,,,,,
8859,-,-,-,0.44,-,0.44,0.43,-,-,-,,,,,,,,,,,,,,,,,,,,
8861,-,-,-,-,-,0.41,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8869,-,-,-,-,0.26,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8871,-,-,0.56,-,-,0.57,0.56,-,0.55,-,,,,,,,,,,,,,,,,,,,,
8873,0.93,-,-,-,-,-,-,0.93,-,0.93,,,,,,,,,,,,,,,,,,,,
8876,-,0.72,-,-,-,0.72,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8879,0.54,-,-,-,-,-,-,-,0.54,-,,,,,,,,,,,,,,,,,,,,
8881,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8882,-,-,-,-,0.63,-,-,-,0.61,0.63,,,,,,,,,,,,,,,,,,,,
8885,0.57,0.58,0.57,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8890,-,0.43,-,-,-,0.43,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8893,-,-,-,-,-,-,0.34,-,-,-,,,,,,,,,,,,,,,,,,,,
8897,0.4,-,-,-,-,-,0.39,-,0.4,-,,,,,,,,,,,,,,,,,,,,
8899,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8908,-,-,-,-,-,0.53,-,-,0.53,-,,,,,,,,,,,,,,,,,,,,
8910,0.46,-,-,0.46,-,0.47,-,-,0.46,-,,,,,,,,,,,,,,,,,,,,
8914,-,-,-,0.64,-,-,-,-,-,0.65,,,,,,,,,,,,,,,,,,,,
8920,-,-,-,0.66,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8924,-,-,-,-,0.53,-,-,-,0.5,0.52,,,,,,,,,,,,,,,,,,,,
8925,-,0.47,-,-,-,0.47,-,-,-,0.47,,,,,,,,,,,,,,,,,,,,
8926,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8936,-,0.47,0.46,-,0.49,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8938,-,0.22,-,0.21,0.24,-,0.21,-,-,-,,,,,,,,,,,,,,,,,,,,
8939,-,0.52,-,-,-,-,-,0.53,-,-,,,,,,,,,,,,,,,,,,,,
8944,-,-,-,-,-,-,0.28,-,-,-,,,,,,,,,,,,,,,,,,,,
8945,0.54,-,-,-,-,-,-,0.56,-,-,,,,,,,,,,,,,,,,,,,,
8949,0.43,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8960,-,-,-,-,0.45,0.43,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8964,-,-,-,-,-,0.9,0.89,-,-,-,,,,,,,,,,,,,,,,,,,,
8969,-,-,-,0.58,-,-,-,-,0.57,-,,,,,,,,,,,,,,,,,,,,
8971,-,0.57,-,-,-,-,-,-,-,0.57,,,,,,,,,,,,,,,,,,,,
8972,0.5,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8974,-,-,-,-,-,-,0.61,-,-,-,,,,,,,,,,,,,,,,,,,,
8988,-,-,-,0.6,-,-,-,0.61,-,0.61,,,,,,,,,,,,,,,,,,,,
8989,-,-,0.57,-,-,-,-,0.59,-,0.59,,,,,,,,,,,,,,,,,,,,
8996,0.57,-,0.57,-,-,0.58,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8997,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
8999,-,-,-,-,0.56,-,-,0.56,-,-,,,,,,,,,,,,,,,,,,,,
9004,-,-,-,-,-,0.53,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9010,-,-,-,0.35,-,-,0.34,-,-,-,,,,,,,,,,,,,,,,,,,,
9018,0.62,-,-,-,-,-,0.62,-,-,-,,,,,,,,,,,,,,,,,,,,
9022,-,-,0.61,-,-,0.61,-,0.62,-,0.62,,,,,,,,,,,,,,,,,,,,
9028,-,-,-,-,0.36,-,0.33,-,-,-,,,,,,,,,,,,,,,,,,,,
9031,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9032,0.29,-,-,-,-,-,-,0.29,-,-,,,,,,,,,,,,,,,,,,,,
9034,0.38,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9038,-,-,-,-,-,0.43,-,0.43,-,0.43,,,,,,,,,,,,,,,,,,,,
9039,-,0.54,-,-,0.55,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9040,-,-,-,-,-,-,-,0.51,-,-,,,,,,,,,,,,,,,,,,,,
9044,-,-,-,-,-,0.58,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9049,0.31,0.31,-,0.31,0.33,0.31,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9054,-,-,-,-,-,-,-,-,-,0.74,,,,,,,,,,,,,,,,,,,,
9056,-,0.36,-,-,0.37,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9061,0.68,-,0.68,-,-,-,-,-,0.67,-,,,,,,,,,,,,,,,,,,,,
9064,0.71,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9072,-,0.5,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9074,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9076,0.45,-,-,0.45,-,0.46,-,-,-,0.46,,,,,,,,,,,,,,,,,,,,
9086,-,-,0.83,-,-,-,-,-,-,0.83,,,,,,,,,,,,,,,,,,,,
9093,-,0.58,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9094,0.63,0.63,-,-,0.64,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9096,0.69,0.7,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9097,-,-,0.75,-,0.74,-,-,0.75,-,0.75,,,,,,,,,,,,,,,,,,,,
9102,-,-,-,-,-,-,0.6,-,-,-,,,,,,,,,,,,,,,,,,,,
9110,0.31,-,0.3,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9119,-,0.86,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9120,-,0.6,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9126,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9129,-,-,-,0.57,-,0.57,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9136,-,-,-,0.69,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9144,-,-,-,0.45,0.47,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9145,-,-,-,-,-,0.57,0.56,-,-,-,,,,,,,,,,,,,,,,,,,,
9146,-,-,-,-,-,-,0.55,-,0.54,-,,,,,,,,,,,,,,,,,,,,
9157,0.96,-,-,-,-,0.96,-,-,0.96,-,,,,,,,,,,,,,,,,,,,,
9160,-,-,-,-,-,-,-,0.71,-,-,,,,,,,,,,,,,,,,,,,,
9163,-,-,-,-,0.84,-,0.84,0.85,-,-,,,,,,,,,,,,,,,,,,,,
9165,-,-,0.47,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9166,-,-,-,-,0.55,-,0.53,-,0.53,-,,,,,,,,,,,,,,,,,,,,
9167,0.43,-,-,0.44,-,-,-,-,0.43,-,,,,,,,,,,,,,,,,,,,,
9172,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9178,-,-,-,-,-,0.51,-,-,0.51,-,,,,,,,,,,,,,,,,,,,,
9180,-,-,-,0.63,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9182,-,-,0.84,-,-,-,-,0.84,-,0.84,,,,,,,,,,,,,,,,,,,,
9185,-,-,-,-,-,-,-,-,-,0.74,,,,,,,,,,,,,,,,,,,,
9186,0.66,-,-,-,0.65,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9191,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9192,0.41,-,0.41,-,-,0.41,-,0.42,-,-,,,,,,,,,,,,,,,,,,,,
9201,-,0.55,-,-,-,-,0.55,-,0.54,-,,,,,,,,,,,,,,,,,,,,
9207,0.53,0.54,0.53,0.53,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9208,-,-,0.95,0.95,-,0.95,-,-,0.95,0.95,,,,,,,,,,,,,,,,,,,,
9209,0.57,-,0.58,0.58,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9214,-,0.52,-,-,-,-,-,-,-,0.53,,,,,,,,,,,,,,,,,,,,
9219,-,-,-,0.74,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9225,-,-,0.75,0.76,0.74,-,-,-,0.75,-,,,,,,,,,,,,,,,,,,,,
9229,-,0.54,-,-,0.55,-,-,-,-,0.54,,,,,,,,,,,,,,,,,,,,
9238,-,-,-,-,-,0.37,-,0.38,-,0.38,,,,,,,,,,,,,,,,,,,,
9239,0.56,-,0.56,0.56,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9240,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9244,-,0.55,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9245,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9247,-,-,-,0.4,0.42,-,0.39,-,-,0.41,,,,,,,,,,,,,,,,,,,,
9248,-,0.9,-,0.92,-,0.9,0.9,-,-,-,,,,,,,,,,,,,,,,,,,,
9254,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9257,-,0.45,-,-,0.47,-,-,0.46,-,-,,,,,,,,,,,,,,,,,,,,
9261,-,-,-,-,-,-,-,-,-,0.62,,,,,,,,,,,,,,,,,,,,
9262,0.4,-,-,-,0.42,-,-,-,-,0.41,,,,,,,,,,,,,,,,,,,,
9266,0.43,-,0.43,-,0.46,0.44,-,0.45,-,-,,,,,,,,,,,,,,,,,,,,
9269,-,0.5,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9270,0.37,-,0.36,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9275,0.43,-,-,-,-,-,-,-,-,0.45,,,,,,,,,,,,,,,,,,,,
9277,-,-,-,-,-,0.47,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9282,-,-,-,-,-,-,-,0.54,-,-,,,,,,,,,,,,,,,,,,,,
9285,-,0.33,-,0.33,0.34,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9287,0.8,-,-,-,-,0.81,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9292,-,-,-,-,-,-,0.46,-,-,-,,,,,,,,,,,,,,,,,,,,
9293,-,-,-,0.82,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9296,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9297,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9303,-,-,-,0.42,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9306,0.55,-,-,-,-,0.57,0.56,-,0.55,0.57,,,,,,,,,,,,,,,,,,,,
9307,-,-,-,-,-,-,-,-,0.89,-,,,,,,,,,,,,,,,,,,,,
9318,-,-,-,0.81,-,-,-,-,0.8,-,,,,,,,,,,,,,,,,,,,,
9320,-,-,-,0.15,-,-,-,0.15,-,-,,,,,,,,,,,,,,,,,,,,
9322,-,-,0.6,-,-,-,-,-,0.6,-,,,,,,,,,,,,,,,,,,,,
9327,-,-,0.57,0.58,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9332,-,-,-,-,0.55,-,-,-,0.53,-,,,,,,,,,,,,,,,,,,,,
9335,-,-,-,-,-,0.33,-,-,-,0.36,,,,,,,,,,,,,,,,,,,,
9336,-,-,-,-,-,0.69,0.68,0.69,0.68,-,,,,,,,,,,,,,,,,,,,,
9338,-,-,0.37,-,-,-,-,0.38,0.37,-,,,,,,,,,,,,,,,,,,,,
9343,-,-,-,-,-,-,-,-,-,0.76,,,,,,,,,,,,,,,,,,,,
9344,-,-,0.39,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9346,-,0.41,-,0.41,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9351,-,-,0.89,0.89,-,0.88,-,-,0.88,-,,,,,,,,,,,,,,,,,,,,
9357,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9358,-,0.73,-,-,-,0.74,0.73,0.74,-,0.75,,,,,,,,,,,,,,,,,,,,
9364,0.78,-,-,-,0.75,0.76,-,0.77,-,-,,,,,,,,,,,,,,,,,,,,
9369,-,-,-,-,-,-,-,0.46,-,-,,,,,,,,,,,,,,,,,,,,
9370,-,-,-,0.61,0.59,-,0.58,-,-,0.6,,,,,,,,,,,,,,,,,,,,
9372,-,-,-,0.63,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9375,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9386,0.57,-,-,-,-,-,0.56,-,-,0.58,,,,,,,,,,,,,,,,,,,,
9398,-,0.64,-,-,0.65,-,0.64,-,-,0.65,,,,,,,,,,,,,,,,,,,,
9402,-,-,-,-,-,-,-,0.94,-,-,,,,,,,,,,,,,,,,,,,,
9404,-,-,0.43,-,-,-,0.43,-,-,0.45,,,,,,,,,,,,,,,,,,,,
9405,-,0.61,0.62,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9407,-,-,-,0.94,-,0.93,-,-,0.93,-,,,,,,,,,,,,,,,,,,,,
9412,-,-,-,-,0.41,-,-,0.39,-,-,,,,,,,,,,,,,,,,,,,,
9413,-,-,-,-,-,-,-,0.91,-,0.91,,,,,,,,,,,,,,,,,,,,
9416,-,0.52,-,0.52,-,-,0.52,-,0.52,0.53,,,,,,,,,,,,,,,,,,,,
9419,-,-,-,-,0.27,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9420,0.56,-,0.56,-,0.58,0.57,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9433,0.27,-,0.26,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9436,-,-,0.86,0.86,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9439,-,-,-,-,-,-,-,-,-,0.55,,,,,,,,,,,,,,,,,,,,
9440,0.54,-,-,-,-,-,-,-,-,0.56,,,,,,,,,,,,,,,,,,,,
9441,0.6,-,-,-,-,-,-,0.61,-,-,,,,,,,,,,,,,,,,,,,,
9442,-,0.54,-,0.53,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9443,-,-,0.92,-,-,-,-,0.91,-,0.91,,,,,,,,,,,,,,,,,,,,
9450,-,-,-,0.5,-,-,-,-,-,0.51,,,,,,,,,,,,,,,,,,,,
9451,-,-,-,-,-,-,0.62,-,-,-,,,,,,,,,,,,,,,,,,,,
9452,0.87,-,-,-,-,0.87,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9458,0.51,-,-,-,0.54,-,-,-,0.51,0.53,,,,,,,,,,,,,,,,,,,,
9465,-,0.21,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9467,-,-,-,0.53,-,-,-,-,-,0.54,,,,,,,,,,,,,,,,,,,,
9473,-,-,-,-,-,-,-,-,0.84,-,,,,,,,,,,,,,,,,,,,,
9475,-,-,-,-,0.47,0.46,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9476,-,-,-,-,-,-,-,0.56,-,0.56,,,,,,,,,,,,,,,,,,,,
9483,0.89,-,-,0.9,0.88,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9486,-,-,-,-,-,0.57,0.56,-,-,-,,,,,,,,,,,,,,,,,,,,
9492,-,-,0.62,-,-,-,-,0.62,-,-,,,,,,,,,,,,,,,,,,,,
9493,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9497,-,0.35,-,-,-,-,-,0.35,-,0.35,,,,,,,,,,,,,,,,,,,,
9499,-,-,-,-,0.96,-,0.96,-,-,0.97,,,,,,,,,,,,,,,,,,,,
9506,-,-,0.5,-,-,0.51,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9509,-,0.8,-,-,-,-,-,-,-,0.81,,,,,,,,,,,,,,,,,,,,
9513,-,-,0.33,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9515,-,0.52,0.52,0.52,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9516,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9523,-,-,0.51,-,-,-,-,-,0.51,-,,,,,,,,,,,,,,,,,,,,
9527,-,-,-,0.43,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9529,-,0.61,-,0.62,-,-,-,-,0.61,-,,,,,,,,,,,,,,,,,,,,
9532,-,-,0.63,0.63,0.64,-,0.63,-,0.62,-,,,,,,,,,,,,,,,,,,,,
9534,-,-,0.98,-,0.97,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9536,-,-,-,-,-,-,0.96,0.96,-,-,,,,,,,,,,,,,,,,,,,,
9540,-,-,0.57,0.57,0.58,-,-,-,-,0.58,,,,,,,,,,,,,,,,,,,,
9541,-,-,-,0.53,0.55,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9542,-,-,-,0.64,-,-,-,-,0.64,0.65,,,,,,,,,,,,,,,,,,,,
9545,-,-,-,-,-,-,0.3,-,-,-,,,,,,,,,,,,,,,,,,,,
9550,-,-,-,0.79,-,-,-,0.78,-,-,,,,,,,,,,,,,,,,,,,,
9557,0.57,-,-,-,-,-,-,0.59,-,0.59,,,,,,,,,,,,,,,,,,,,
9567,-,-,0.45,-,-,-,-,-,-,0.46,,,,,,,,,,,,,,,,,,,,
9568,-,-,-,-,-,-,-,-,0.76,-,,,,,,,,,,,,,,,,,,,,
9570,-,-,0.53,-,-,-,-,-,-,0.54,,,,,,,,,,,,,,,,,,,,
9574,-,-,-,0.69,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9578,-,-,-,-,-,-,-,-,0.68,0.69,,,,,,,,,,,,,,,,,,,,
9581,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9584,-,-,-,0.18,-,-,0.17,0.18,-,-,,,,,,,,,,,,,,,,,,,,
9586,-,-,-,0.53,-,0.54,-,0.54,-,-,,,,,,,,,,,,,,,,,,,,
9589,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9591,-,-,-,-,-,-,-,-,0.64,-,,,,,,,,,,,,,,,,,,,,
9603,0.59,-,0.58,0.59,-,0.58,0.58,0.59,-,0.59,,,,,,,,,,,,,,,,,,,,
9604,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9617,0.63,-,0.63,0.64,0.64,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9624,0.31,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9626,-,0.71,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9628,-,-,-,-,-,-,-,-,-,0.64,,,,,,,,,,,,,,,,,,,,
9629,-,-,-,0.78,-,-,-,-,0.77,-,,,,,,,,,,,,,,,,,,,,
9636,-,-,0.88,-,-,-,0.87,-,-,-,,,,,,,,,,,,,,,,,,,,
9640,0.99,-,-,0.99,-,-,0.99,-,0.99,-,,,,,,,,,,,,,,,,,,,,
9644,-,-,-,-,0.55,-,-,-,-,0.54,,,,,,,,,,,,,,,,,,,,
9646,-,0.79,-,-,-,-,0.79,-,-,-,,,,,,,,,,,,,,,,,,,,
9654,-,-,0.31,0.32,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9656,-,-,-,-,-,-,-,-,-,0.67,,,,,,,,,,,,,,,,,,,,
9658,0.71,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9659,-,-,-,0.49,-,0.5,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9663,-,-,0.48,-,-,0.48,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9666,-,-,-,-,-,-,0.55,-,-,-,,,,,,,,,,,,,,,,,,,,
9668,-,-,-,-,-,-,0.45,-,-,-,,,,,,,,,,,,,,,,,,,,
9669,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9672,-,0.35,-,-,0.37,-,-,-,-,0.36,,,,,,,,,,,,,,,,,,,,
9676,0.42,0.42,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
9677,-,-,0.38,-,-,0.39,-,0.39,-,-,,,,,,,,,,,,,,,,,,,,
9681,0.72,-,-,0.72,0.72,-,0.72,-,-,-,,,,,,,,,,,,,,,,,,,,
9685,-,-,0.53,0.53,0.55,0.54,-,0.54,0.53,-,,,,,,,,,,,,,,,,,,,,
9686,-,0.51,-,-,0.53,-,-,0.52,-,-,,,,,,,,,,,,,,,,,,,,
9687,0.33,-,-,-,-,-,-,-,0.33,-,,,,,,,,,,,,,,,,,,,,
9690,-,0.48,-,-,0.5,-,0.48,-,-,-,,,,,,,,,,,,,,,,,,,,
9691,-,-,-,-,-,-,-,-,0.52,-,,,,,,,,,,,,,,,,,,,,
9698,-,-,0.56,-,0.58,0.57,-,-,-,-,,,,,,,,,,,,,,,,,,,,
